====Alpha====
>OD995392.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>ON458099.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/SUR000346900/2021, complete genome
>LC643052.1 |Severe acute respiratory syndrome coronavirus 2 TKYTS397_2021 genomic RNA, complete genome
>LC666928.1 |Severe acute respiratory syndrome coronavirus 2 TKYTK26816_2021 genomic RNA, complete genome
>BS002179.1 |Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/SZ-NIG-4-C3/2022 RNA, complete genome
>MZ491704.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-CDC-QDX25726274/2021, complete genome
>MZ505747.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-BIE-LSUH000936/2021, complete genome
>OK353751.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-BIE-LSUH002152/2021, complete genome
>OL719188.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BHR/21922000489/2021, complete genome
>OK555092.4 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Felis catus/THA/CU27516/2021, complete genome
>OU390364.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU393375.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>ON447072.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/FRA/IHUCOVID-052402-Nova1M/2021, complete genome
>OV319901.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OK041067.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/PA-M21080426/2021, complete genome
>OU737833.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU594393.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU814922.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>MZ538371.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-CDC-QDX25891010/2021, complete genome
>OU594421.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OM462909.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DEU/C3093/2021, complete genome
>OK246794.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VSP3359/2021, complete genome
>MZ558138.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/CWS_0059_55557426/2021, complete genome
>OU347884.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU389100.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OM124657.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CO-CDPHE-2102467607/2021, complete genome
>OL731555.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NY-CDC-ASC210459429/2021, complete genome
>OV197920.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU348542.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU395327.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OL986646.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NY-CDC-FG-194444/2021, complete genome
>OU860027.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>ON618879.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-6000007384/2021, complete genome
>OV041705.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>OU395189.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU593565.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU814454.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU898290.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OV086327.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OV316934.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU447166.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU706949.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>OU491538.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU490622.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU420761.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU534039.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU422487.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU706883.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>OU491519.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU422379.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OL912742.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-FG-192108/2021, complete genome
>OV091154.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU804592.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU979847.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>ON446852.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/FRA/IHUCOVID-053065-Nova1M/2021, complete genome
>OW108286.2 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OV197408.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU900001.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU958227.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>MZ363067.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-210603761050/2021, complete genome
>OU491040.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU395067.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OL700339.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA-CDCBI-CRSP_AFJAK6TG66B7T4NG/2021, complete genome
>OU390982.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>ON583718.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/SP-NVBS4834GENOV827957611246/2021, complete genome
>MZ637371.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-BIE-LSUH001256/2021, complete genome
>OU385196.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU737555.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>MZ576120.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-BIE-LSUH000984/2021, complete genome
>MZ953504.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-ASC210183667/2021, complete genome
>OM922598.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TN-VUMC-002332/2021, complete genome
>OU348241.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU491579.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU862325.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OK379285.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-CDC-MMB10177005/2021, complete genome
>OU799937.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU819603.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>OL782929.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA_FBCH_729/2021, complete genome
>OU805815.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU662624.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OL847987.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-3000118464/2021, complete genome
>OU706618.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>MZ637383.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-BIE-LSUH001271/2021, complete genome
>OU662198.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU032528.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU396011.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OM214021.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/MYS/M_C15462/2021, complete genome
>OU396896.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU706400.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>OM463037.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DEU/C2166/2021, complete genome
>MZ966304.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-BIE-FDC005/2021, complete genome
>MZ917741.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TG935187/2021, complete genome
>OU392138.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>ON277561.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/FRA/IHUCOVID-033926_Nova1/2021, complete genome
>OL727059.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-CDC-QDX31003864/2021, complete genome
>OU706969.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>OU706356.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>OU348396.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU858370.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>OU488628.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU393732.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU534717.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU859154.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OM432925.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-500027037/2021, complete genome
>OK164495.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-CDC-IBX865354162702/2021, complete genome
>OU386248.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OL966510.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BGD/Laila_260/2021, complete genome
>BS001465.1 |Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/SZ-NIG-Y211022/2021 RNA, complete genome
>OU660681.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OK239001.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-ASC210121271/2021, complete genome
>ON287816.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/FRA/IHUCOVID-037785-Nova1M/2021, complete genome
>OU348390.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU031856.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU859634.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OL706387.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-FG-176537/2021, complete genome
>OW414907.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OL708902.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-CDC-QDX31091849/2021, complete genome
>OU447844.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OL757804.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/MMR/DSMRC039/2021, complete genome
>OL922780.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-CDC-ASC210398688/2021, complete genome
>OU390043.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU390271.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU348083.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU492109.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>ON052758.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/6/2021, complete genome
>OU395222.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU997741.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OL724744.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MO-CDC-QDX31201018/2021, complete genome
>OU491438.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OL991329.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/PA-CDC-LC0420001/2021, complete genome
>OU348458.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU489107.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU593642.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OL788745.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-QDX31446444/2021, complete genome
>OL730259.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TN-CDC-ASC210389498/2021, complete genome
>MW931310.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IN-CDC-STM-000045992/2021, complete genome
>ON266593.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/FRA/IHUCOVID-064762/2022, complete genome
====Gamma====
>MW520923.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-2399/2021, complete genome
>MW908919.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA-CDC-LC0029201/2021, complete genome
>MW844536.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-LC0021578/2021, complete genome
>ON578629.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/SP-NXBS4705GENOV701243923735/2021, complete genome
>MW964558.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-QDX23527369/2021, complete genome
>MZ953236.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-ASC210239375/2021, complete genome
>MZ002566.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/PA-CDC-LC0038542/2021, complete genome
>MZ471917.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-2105915804/2021, complete genome
>MW912340.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-CDC-STM-000041172/2021, complete genome
>OU809862.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>MW840402.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/AZ-CDC-STM-000023349/2021, complete genome
>MW967498.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NY-CDC-ASC210010968/2021, complete genome
>OK126650.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-LC0127560/2021, complete genome
>MZ780948.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MI-CDC-2-4611989/2021, complete genome
>MZ745073.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-ASC210156645/2021, complete genome
